Date,Impressions Envoyees,Key
13/01/2017,17 918,393178-10
13/01/2017,19 388,394008-57
13/01/2017,23 563,395228-10
13/01/2017,26 516,Handball17_parallax
13/01/2017,26 814,471996-10
13/01/2017,28 898,460206-10
13/01/2017,32 907,471996-58
13/01/2017,34 574,394008-10
13/01/2017,35 691,395228-57
13/01/2017,36 067,394024-15
13/01/2017,43 097,13359
13/01/2017,44 848,471998-10
13/01/2017,45 012,471998-2
13/01/2017,47 447,1113
13/01/2017,62 108,460206-57
13/01/2017,64 205,473098-15
13/01/2017,1 194 283,-
13/01/2017,4 377 816,-
14/01/2017,2,Backgroundmobile-WL-fb
14/01/2017,3,4565
14/01/2017,25,391854-57
14/01/2017,32,523402-57
14/01/2017,32,523404-2
14/01/2017,33,523402-10
14/01/2017,37,523404-15
14/01/2017,76,391890-15
14/01/2017,87,391854-10
14/01/2017,330,452900-10
14/01/2017,870,4571
14/01/2017,945,8100
14/01/2017,2 070,393782-10
14/01/2017,2 207,393782-9
14/01/2017,2 284,393782-57
14/01/2017,2 752,394024-2
14/01/2017,3 167,1801
14/01/2017,3 543,392430-10
14/01/2017,3 676,392430-57
14/01/2017,4 276,392466-15
14/01/2017,4 781,393322-10
14/01/2017,6 636,1802
14/01/2017,6 775,2437
14/01/2017,7 530,393342-15
14/01/2017,7 725,393322-57
14/01/2017,8 130,393178-57
14/01/2017,8 174,Handball17_interdesktop_handnews
14/01/2017,10 302,394166-2
14/01/2017,11 842,413522-10
14/01/2017,12 163,393178-10
14/01/2017,12 647,394154-57
14/01/2017,15 897,4567
14/01/2017,17 868,394166-88
14/01/2017,20 042,395228-10
14/01/2017,21 977,394008-57
14/01/2017,27 812,471996-10
14/01/2017,27 970,460206-10
14/01/2017,29 316,395228-57
14/01/2017,30 561,471996-58
14/01/2017,34 285,Handball17_parallax
14/01/2017,39 382,394024-15
14/01/2017,40 502,394008-10
14/01/2017,48 846,471998-10
14/01/2017,50 891,471998-2
14/01/2017,51 197,1113
14/01/2017,54 525,13359
14/01/2017,59 884,473098-15
14/01/2017,64 065,460206-57
14/01/2017,1 232 094,-
14/01/2017,4 803 706,-
15/01/2017,2,Backgroundmobile-WL-fb
