Date,Impressions Envoyees,Key
25/07/2017,918,446676
25/07/2017,933,4254745802
25/07/2017,959,390182
25/07/2017,1068,7347813009
25/07/2017,1090,392430-10
25/07/2017,1102,1080953403
25/07/2017,1133,390464
25/07/2017,1157,2778012606
25/07/2017,1213,569748-2
25/07/2017,1254,4571
25/07/2017,1260,3800983803
25/07/2017,1262,2545523409
25/07/2017,1276,392430-57
25/07/2017,1296,4017413400
25/07/2017,1308,390206
25/07/2017,1317,6970879800
25/07/2017,1321,393466-2
25/07/2017,1329,390752
25/07/2017,1354,529910-43
25/07/2017,1380,5731479001
25/07/2017,1406,390251
25/07/2017,1493,540566-43
25/07/2017,1506,392466-15
25/07/2017,1528,472004-67
25/07/2017,1537,4565
25/07/2017,1610,390231
25/07/2017,1683,389610
25/07/2017,1698,571460-43
25/07/2017,1748,393766-2
25/07/2017,1763,390133
25/07/2017,1802,1292239802
25/07/2017,1947,477700-57
25/07/2017,1967,616554-43
25/07/2017,2096,474239
25/07/2017,2108,393782-10
25/07/2017,2176,389607
25/07/2017,2197,571454-43
25/07/2017,2209,4245706201
25/07/2017,2267,393782-9
25/07/2017,2282,569746-55
25/07/2017,2346,393782-57
25/07/2017,2411,2768973002
25/07/2017,2463,390412
25/07/2017,2471,472004-15
25/07/2017,2551,529908-10
25/07/2017,2812,389606
25/07/2017,2891,388228
25/07/2017,2916,394024-2
25/07/2017,2950,477702-2
25/07/2017,3191,452900-10
25/07/2017,3321,616768-15
25/07/2017,3400,460246-15
25/07/2017,3411,390440
25/07/2017,3464,393178-10
25/07/2017,3480,477712-43
25/07/2017,3482,4273582201
25/07/2017,3624,529908-2
25/07/2017,3681,471996-58
25/07/2017,3829,452900-57
25/07/2017,3953,393210-2
25/07/2017,4093,1802
25/07/2017,4228,460246-43
25/07/2017,4416,456350-15
25/07/2017,4479,390202
25/07/2017,4898,393178-57
25/07/2017,5000,456350-43
25/07/2017,5890,497124-15
25/07/2017,6401,7127487008
25/07/2017,6442,394398-43
25/07/2017,6532,598040-117
25/07/2017,6582,686600-15
25/07/2017,6618,3779213406
25/07/2017,6726,394190-67
25/07/2017,6793,471998-10
25/07/2017,6814,471998-2
25/07/2017,7069,393210-15
25/07/2017,7439,9686146204
25/07/2017,7688,393188-10
25/07/2017,7918,8604220208
25/07/2017,8235,394166-2
25/07/2017,8336,394166-10
25/07/2017,8420,413522-10
25/07/2017,8810,394154-10
25/07/2017,9153,394154-57
25/07/2017,9348,393188-2
25/07/2017,9762,394190-15
25/07/2017,9899,2437
25/07/2017,10074,394190-43
25/07/2017,11360,394008-57
25/07/2017,11389,686602-15
25/07/2017,12091,394400-15
25/07/2017,12333,1896598203
25/07/2017,12531,598040-15
25/07/2017,12729,472004-43
25/07/2017,13176,6732679805
25/07/2017,13315,2638411805
25/07/2017,13706,393342-15
25/07/2017,13722,394024-15
25/07/2017,13769,393322-10
25/07/2017,13960,393322-57
25/07/2017,14078,4566
25/07/2017,14615,395228-10
25/07/2017,15019,395230-2
25/07/2017,15967,395230-15
25/07/2017,16315,484786-117
25/07/2017,16536,395228-57
25/07/2017,17182,1801
25/07/2017,17195,1113
25/07/2017,19101,7042029007
25/07/2017,19387,471996-10
25/07/2017,20716,5650753803
25/07/2017,22175,394008-10
25/07/2017,27691,394466-15
25/07/2017,28546,686610-15
25/07/2017,29023,7433491808
25/07/2017,31177,392902-10
25/07/2017,35551,392926-2
25/07/2017,38272,392902-57
25/07/2017,38845,4567
25/07/2017,41119,686612-15
25/07/2017,68859,-
26/07/2017,2,394400-43
26/07/2017,2,684380-15
26/07/2017,3,616772-15
26/07/2017,4,390254
26/07/2017,8,392892-10
26/07/2017,8,616770-15
26/07/2017,12,393368-10
26/07/2017,12,393368-57
26/07/2017,20,383690
26/07/2017,25,383689
26/07/2017,27,9512974205
26/07/2017,29,6872280602
26/07/2017,30,4350000605
26/07/2017,37,1989707405
